data_point,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
1,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
2,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
3,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
4,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
5,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
6,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
7,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
8,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
9,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
10,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
11,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
12,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
13,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
14,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
15,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
16,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
17,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
18,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
19,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
20,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
21,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
22,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
23,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
24,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
25,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
26,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
27,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
28,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
29,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
30,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
31,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
32,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
33,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
34,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
35,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
36,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
37,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
38,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
39,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
40,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
41,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
42,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
43,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
44,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
45,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
46,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
47,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
48,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
49,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
50,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
51,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
52,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
53,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
54,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
55,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
56,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
57,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
58,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
59,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
60,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
61,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
62,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
63,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
64,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
65,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
66,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
67,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
68,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
69,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
70,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
71,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
72,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
73,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
74,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
75,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
76,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
77,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
78,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
79,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
80,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
81,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
82,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
83,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
84,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
85,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
86,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
87,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
88,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
89,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
90,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
91,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
92,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
93,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
94,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
95,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
96,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
97,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
98,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
99,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
100,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
101,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
102,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
103,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
104,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
105,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
106,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
107,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
108,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
109,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
110,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
111,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
112,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
113,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
114,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
115,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
116,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
117,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
118,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
119,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
120,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
121,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
122,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
123,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
124,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
125,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
126,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
127,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
128,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
129,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
130,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
131,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
132,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
133,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
134,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
135,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
136,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
137,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
138,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
139,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
140,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
141,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
142,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
143,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
144,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
145,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
146,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
147,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
148,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
149,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
150,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
151,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
152,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
153,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
154,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
155,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
156,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
157,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
158,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
159,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
160,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
161,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
162,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
163,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
164,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
165,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
166,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
167,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
168,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
169,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
170,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
171,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
172,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
173,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
174,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
175,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
176,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
177,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
178,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
179,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
180,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
181,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
182,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
183,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
184,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
185,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
186,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
187,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
188,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
189,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
190,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
191,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
192,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
193,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
194,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
195,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
196,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
197,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
198,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
199,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
200,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
201,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
202,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
203,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
204,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
205,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
206,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
207,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
208,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
209,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
210,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
211,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
212,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
213,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
214,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
215,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
216,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
217,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
218,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
219,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
220,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
221,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
222,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
223,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
224,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
225,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
226,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
227,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
228,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
229,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
230,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
231,0.0,0.0,0.0,0.0,0.0,1.0,0.46612415935589413,0.0,0.8847193159781022
